totalvehicles,CaseYear,ST_CASE,VEH_NO,NUMOCCS,DEATHS,DR_DRINK,DR_ZIP,SPEEDREL,HIT_RUN,BODY_TYP,BODY_TYPNAME,MAK_MOD,MOD_YEAR,Body,DISTRACT,IMPAIR
1,2018,540148,1,1,1,FALSE,25133,FALSE,FALSE,4,"4-door sedan, hardtop",Nissan/Datsun Versa,2015,Sedan,Not Reported,"Ill, Blackout"
1,2018,540149,1,2,1,FALSE,25508,FALSE,FALSE,3,3-door/2-door hatchback,Hyundai Accent,2007,Sedan,Not Reported,None/Apparently Normal
1,2018,540150,1,2,1,TRUE,26547,TRUE,FALSE,96,Recreational Off-Highway Vehicle,Other Make 125-349cc (ATV),2016,ATV/Off road,Not Reported,Under the Influence
1,2018,540151,1,1,0,FALSE,NA,NA,TRUE,99,Unknown body type,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",NA,Unknown,Not Reported,Unknown
1,2018,540152,1,1,1,TRUE,24801,TRUE,FALSE,90,ATV/ATC [All-Terrain Cycle],Honda 350cc or greater (ATV),NA,ATV/Off road,Not Reported,Under the Influence
1,2018,540153,1,1,1,FALSE,45786,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep YJ series/Wrangler,2000,Utility/Minivan,Not Reported,None/Apparently Normal
1,2018,540154,1,1,1,FALSE,24986,FALSE,FALSE,34,Light Pickup,Ford F-Series pickup,2003,Pickup,Not Reported,Unknown
1,2018,540155,1,1,1,FALSE,25969,FALSE,FALSE,6,Station Wagon (excluding van and truck based),"Nissan/Datsun Rogue (For 2008-2018 only.  For model years 2019 on, see 35-404.)",2017,Sedan,Not Reported,None/Apparently Normal
2,2018,540156,1,1,1,FALSE,25315,TRUE,FALSE,34,Light Pickup,Chevrolet S-10/T-10 Pickup,1997,Pickup,Not Distracted,Unknown
2,2018,540156,2,1,0,FALSE,25035,FALSE,FALSE,34,Light Pickup,Dodge Ram Pickup,2001,Pickup,Not Distracted,None/Apparently Normal
2,2018,540157,1,3,0,FALSE,26101,FALSE,FALSE,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Chrysler Town and Country,2011,Utility/Minivan,Not Reported,None/Apparently Normal
2,2018,540157,2,2,1,FALSE,26180,FALSE,FALSE,4,"4-door sedan, hardtop",Mercury Milan,2007,Sedan,Not Reported,None/Apparently Normal
2,2018,540158,1,1,0,FALSE,25506,FALSE,FALSE,3,3-door/2-door hatchback,Volkswagen New Beetle,2002,Sedan,Not Distracted,None/Apparently Normal
2,2018,540158,2,1,1,FALSE,25540,FALSE,FALSE,80,Two Wheel Motorcycle (excluding motor scooters),Harley-Davidson 750cc or greater,2009,Motorcycle,Not Reported,Unknown
2,2018,540159,1,1,0,FALSE,56621,FALSE,FALSE,34,Light Pickup,Ford F-Series pickup,2018,Pickup,Distraction/Inattention,None/Apparently Normal
2,2018,540159,2,1,1,FALSE,25133,FALSE,FALSE,34,Light Pickup,Dodge Ram Pickup,2007,Pickup,Not Distracted,None/Apparently Normal
2,2018,540160,1,1,0,FALSE,25801,FALSE,FALSE,4,"4-door sedan, hardtop",Dodge Charger,2006,Sedan,Not Reported,Under the Influence
2,2018,540160,2,4,1,FALSE,25880,FALSE,FALSE,4,"4-door sedan, hardtop",Hyundai Sonata,2010,Sedan,Not Reported,None/Apparently Normal
2,2018,540161,1,1,1,FALSE,26601,FALSE,FALSE,4,"4-door sedan, hardtop",Pontiac Grand AM,2004,Sedan,While Manipulating Cellular Phone,None/Apparently Normal
