CaseYear,ST_CASE,crashDate,LONGITUD,LATITUDE,COUNTYNAME,HARM_EVNAME,HARM_EV,DRUNK_DR,WEATHERNAME,EMS_flag,EMS_time,Hosp_flag,Hosp_time,totalvehicles,fatals,persons,peds
2016,540031,2016-02-26T14:30:00Z,-79.23711944,38.96535,GRANT (23),Rollover/Overturn,1,FALSE,Clear,Yes,14:42,Unknown time,NA,1,1,1,0
2016,540032,2016-02-23T21:12:00Z,-81.61735,38.3321,KANAWHA (39),Motor Vehicle In-Transport,12,TRUE,Cloudy,Yes,21:19,Yes,21:51,2,1,3,0
2016,540033,2016-02-25T16:05:00Z,-80.73378056,38.51351389,NICHOLAS (67),Motor Vehicle In-Transport,12,FALSE,Cloudy,Yes,16:34,Not Applicable/Notified,NA,2,1,2,0
2016,540034,2016-02-25T15:40:00Z,-80.57271944,38.91576389,LEWIS (41),Motor Vehicle In-Transport,12,FALSE,Snow,Yes,16:17,Yes,17:06,2,3,5,0
2016,540035,2016-02-25T08:39:00Z,-81.83725,38.09425278,BOONE (5),Motor Vehicle In-Transport,12,FALSE,Snow,Yes,08:43,Yes,09:05,2,1,3,0
2016,540036,2016-02-26T16:05:00Z,-78.18187222,39.62654722,MORGAN (65),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,3,1,5,0
2016,540037,2016-02-26T23:52:00Z,-81.1838,37.79392778,RALEIGH (81),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,2,3,0
2016,540038,2016-02-05T16:09:00Z,-80.99145,39.56709167,TYLER (95),Guardrail Face,24,TRUE,Clear,Yes,16:29,Yes,16:47,1,1,4,0
2016,540039,2016-03-02T01:01:00Z,-78.96647222,39.41629444,MINERAL (57),Tree (Standing Only),42,TRUE,Other,Unknown time,NA,Unknown time,NA,1,1,3,0
2016,540040,2016-03-05T01:55:00Z,-81.6201,38.3632,KANAWHA (39),Concrete Traffic Barrier,25,TRUE,Cloudy,Yes,02:08,Yes,02:21,1,1,1,0
2016,540041,2016-03-06T21:24:00Z,-82.09814167,38.4271,CABELL (11),Motor Vehicle In-Transport,12,TRUE,Clear,Yes,21:43,Yes,22:10,2,1,3,0
2016,540042,2016-03-07T16:37:00Z,-78.79213611,39.57255,MINERAL (57),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,16:44,Yes,17:19,2,1,5,0
2016,540043,2016-03-13T18:22:00Z,-80.90494722,38.15875833,NICHOLAS (67),Motor Vehicle In-Transport,12,FALSE,Rain,Unknown time,NA,Unknown time,NA,2,1,4,0
2016,540044,2016-03-14T00:43:00Z,-78.04554167,39.35048056,BERKELEY (3),Boulder,17,TRUE,Rain,Yes,00:49,Not Applicable/Notified,NA,1,1,1,0
2016,540045,2016-03-15T21:00:00Z,-81.66076111,37.26206944,MCDOWELL (47),Rollover/Overturn,1,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,3,0
2016,540046,2016-03-18T16:50:00Z,-79.63348611,39.47879444,PRESTON (77),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,3,0
2016,540047,2016-03-20T21:12:00Z,-80.06143889,39.71756111,MONONGALIA (61),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,21:24,Yes,21:41,2,1,5,0
2016,540048,2016-03-22T10:48:00Z,-81.34512222,38.79850278,ROANE (87),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,2,0
2016,540049,2016-03-27T21:40:00Z,-79.75716111,39.41861111,PRESTON (77),Guardrail Face,24,FALSE,Clear,Yes,21:55,Yes,22:24,1,1,1,0
2016,540050,2016-03-28T01:12:00Z,-81.12781111,37.68679167,RALEIGH (81),Motor Vehicle In-Transport,12,TRUE,Cloudy,Yes,01:47,Yes,02:01,2,4,9,0
2016,540051,2016-03-28T16:20:00Z,-80.65799444,38.33293333,NICHOLAS (67),Other Fixed Object,43,FALSE,Clear,Yes,16:30,Not Applicable/Notified,NA,1,1,1,0
2016,540052,2016-03-29T10:04:00Z,-81.85936389,37.66326944,MINGO (59),Guardrail Face,24,FALSE,Clear,Yes,10:15,Not Applicable/Notified,NA,1,1,1,0
2016,540053,2016-03-29T20:20:00Z,-80.34558611,39.28964722,HARRISON (33),Pedestrian,8,FALSE,Clear,Yes,20:22,Yes,20:35,1,1,1,3
2016,540054,2016-03-30T17:48:00Z,-81.71540556,37.79695833,LOGAN (45),Rollover/Overturn,1,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,2,0
2016,540055,2016-03-30T10:49:00Z,-81.81779444,38.86735278,JACKSON (35),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,11:09,Yes,11:29,2,1,2,0
2016,540056,2016-03-31T09:05:00Z,-81.66491389,38.48453333,KANAWHA (39),Ditch,34,FALSE,Cloudy,Yes,09:38,Not Applicable/Notified,NA,1,1,1,0
2016,540057,2016-04-01T21:08:00Z,-82.03176667,37.75971944,LOGAN (45),Embankment,35,TRUE,Clear,Yes,21:29,Not Applicable/Notified,NA,1,1,1,0
2016,540058,2016-04-05T14:35:00Z,-80.39234167,39.10599722,LEWIS (41),Rollover/Overturn,1,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540059,2016-04-17T05:45:00Z,-81.28097222,39.23379167,WOOD (107),Culvert,32,TRUE,Clear,Yes,06:13,Not Applicable/Notified,NA,1,1,1,0
2016,540060,2016-04-20T15:40:00Z,-80.772925,38.61310278,BRAXTON (7),"Post, Pole or Other Supports",31,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,2,0
2016,540061,2016-04-08T15:58:00Z,-81.38283333,39.14074167,WIRT (105),Embankment,35,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540062,2016-04-05T15:36:00Z,-79.80926111,39.06515556,RANDOLPH (83),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,16:02,Yes,16:25,2,2,3,0
2016,540063,2016-04-06T22:50:00Z,-81.58560556,38.22925,KANAWHA (39),Pedestrian,8,FALSE,Clear,Not called,NA,Not Applicable/Notified,NA,1,1,1,1
2016,540064,2016-04-23T22:33:00Z,-77.97128056,39.46940278,BERKELEY (3),Boulder,17,TRUE,Clear,Unknown time,NA,Unknown time,NA,1,1,2,0
2016,540065,2016-04-29T18:20:00Z,-79.32339444,38.68408889,PENDLETON (71),Tree (Standing Only),42,FALSE,Cloudy,Yes,18:33,Yes,19:01,1,1,5,0
2016,540066,2016-04-30T03:20:00Z,-81.05545833,38.08803056,FAYETTE (19),Pedestrian,8,FALSE,Clear,Yes,03:30,Not Applicable/Notified,NA,1,1,2,1
2016,540067,2016-04-14T16:26:00Z,-77.80505278,39.43053056,JEFFERSON (37),Rollover/Overturn,1,FALSE,Clear,Yes,17:55,Not Applicable/Notified,NA,2,1,2,0
2016,540068,2016-04-28T17:35:00Z,-81.67143056,38.72010278,JACKSON (35),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,2,0
2016,540069,2016-04-18T07:31:00Z,-80.34684444,39.28619444,HARRISON (33),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,2,0
